Cobi_24_1_S54.k100.bam.T	Cobi_24_2_S55.k100.bam.T	UT_24_1_S52.k100.bam.C	UT_24_2_S53.k100.bam.C
Ricksha_0	59	65	71	81
Ricksha_a	3	1	1	2
Ricksha_b	39	31	21	17
Ricksha_c	116	72	80	63
SVA_A	243	276	306	379
SVA_B	331	329	491	515
SVA_C	224	201	267	241
SVA_D	967	933	1155	1117
SVA_E	168	159	142	156
SVA_F	280	246	421	424
THE1-int	11	15	19	11
THE1A-int	325	380	450	445
THE1A	224	229	262	284
THE1B-int	1002	900	958	883
THE1B	1412	1484	1835	1672
THE1C-int	224	206	255	246
THE1C	514	511	609	612
THE1D-int	310	311	355	357
THE1D	871	846	892	932
Tigger10	122	109	169	179
Tigger11a	51	57	44	72
Tigger12	79	96	119	128
Tigger12A	78	86	71	110
Tigger12c	115	84	129	156
Tigger13a	307	286	347	365
Tigger14a	93	105	107	121
Tigger15a	648	545	592	746
Tigger16a	152	142	169	217
Tigger16b	132	118	143	162
Tigger17	15	10	19	13
Tigger17a	350	323	436	490
Tigger17b	14	14	12	17
Tigger17c	57	55	69	98
Tigger18a	153	145	165	222
Tigger19a	436	425	504	507
Tigger19b	333	291	373	428
Tigger1	2933	2896	3496	3725
Tigger1a_Art	18	30	21	25
Tigger1a_Mars	0	4	10	11
Tigger20a	122	136	131	153
Tigger2	771	771	813	795
Tigger2a	384	320	395	481
Tigger2b_Pri	188	145	207	246
Tigger3	149	166	165	181
Tigger3a	613	566	695	777
Tigger3b	991	913	991	1099
Tigger3c	317	244	279	314
Tigger3d	28	35	29	40
Tigger4	163	150	192	203
Tigger4a	496	475	530	618
Tigger4b	347	309	436	516
Tigger5	47	42	60	67
Tigger5b	179	163	207	221
Tigger6a	106	112	156	190
Tigger6b	32	22	14	21
Tigger7	316	284	410	442
Tigger8	93	121	106	117
Tigger9a	87	76	86	90
Tigger9b	96	78	109	125
UCON107	16	9	7	17
UCON11	1	2	1	0
UCON132b	41	29	42	71
UCON23	3	3	1	1
UCON29	13	8	11	17
UCON33	5	5	20	9
UCON39	6	4	3	6
UCON49	4	4	4	7
UCON55	29	27	48	59
UCON69	1	1	2	1
UCON78	9	8	27	16
UCON80	1	2	1	3
UCON81	0	1	0	2
UCON86	1	1	6	0
UCON89	2	2	4	0
UCON8	15	13	10	11
X2_LINE	13	16	8	13
X5B_LINE	2	2	0	3
X6A_LINE	64	61	67	76
X6B_LINE	42	51	57	60
X7A_LINE	116	97	128	112
X7B_LINE	123	109	165	167
X7C_LINE	163	207	104	104
X8_LINE	21	15	18	25
X9_LINE	42	31	36	60
Zaphod2	29	25	43	46
Zaphod3	48	45	55	83
Zaphod	89	100	110	112
hAT-16_Crp	4	3	1	4
hAT-N1_Mam	27	24	38	45
