Cobi_24_1_S54.k100.bam.T	Cobi_24_2_S55.k100.bam.T	UT_24_1_S52.k100.bam.C	UT_24_2_S53.k100.bam.C
L1M3c	80	62	85	73
L1M3d	40	32	47	44
L1M3de	14	12	15	29
L1M3e	56	52	78	63
L1M3f	113	128	117	180
L1M4	2708	2437	2477	3222
L1M4a1	274	252	232	280
L1M4a2	201	157	201	203
L1M4b	624	575	663	681
L1M4c	398	381	411	463
L1M5	5084	4388	5005	6254
L1M6	314	257	296	327
L1M6B	39	24	41	51
L1M7	259	211	288	309
L1M8	194	158	196	223
L1M	36	33	39	57
L1MA10	244	280	241	317
L1MA1	613	534	674	716
L1MA2	805	725	869	964
L1MA3	1173	1175	1394	1597
L1MA4	972	830	1034	1276
L1MA4A	1028	1039	956	1100
L1MA5	496	498	529	636
L1MA5A	377	318	377	412
L1MA6	563	503	578	767
L1MA7	591	517	633	740
L1MA8	927	837	898	1168
L1MA9	1054	1054	1373	1499
L1MB1	466	464	445	596
L1MB2	1334	1246	1390	1674
L1MB3	2724	2575	2783	3183
L1MB4	1325	1323	1424	1778
L1MB5	1517	1409	1517	1739
L1MB7	4622	4220	4565	5400
L1MB8	2497	2411	2604	3214
L1MC1	1679	1622	1885	2071
L1MC2	682	610	817	981
L1MC3	1258	1231	1365	1602
L1MC4	4496	4061	4604	5664
L1MC4a	1484	1386	1485	1766
L1MC5	2436	2184	2774	3201
L1MC5a	2543	2280	2708	3249
L1MC	595	524	548	670
L1MCa	523	519	521	613
L1MCb	84	79	116	105
L1MCc	216	218	238	260
L1MD1	972	906	921	1143
L1MD2	1381	1393	1553	1674
L1MD3	635	544	648	748
L1MD	776	722	914	1091
L1MDa	908	879	966	1079
L1MDb	54	43	65	61
L1ME1	3782	3375	3866	4655
L1ME2	1723	1532	1712	2076
L1ME2z	860	800	913	1088
L1ME3	1105	981	1188	1408
L1ME3A	1666	1470	1616	1967
L1ME3B	1028	960	1012	1262
L1ME3C	336	308	359	444
L1ME3Cz	1118	953	1142	1390
L1ME3D	417	362	490	608
L1ME3E	550	508	474	566
L1ME3F	616	513	605	725
L1ME3G	2064	1621	1819	2219
L1ME4a	3081	2608	2835	3750
L1ME4b	3008	2565	2879	3531
L1ME4c	952	843	869	1183
L1ME5	251	243	264	270
L1MEa	23	28	26	22
L1MEb	189	175	250	271
L1MEc	1998	1859	2268	2641
L1MEd	2239	2058	2118	2460
L1MEf	1289	1153	1495	1735
L1MEg1	52	51	65	72
L1MEg2	86	70	77	89
L1MEg	1229	1099	1269	1507
L1MEh	180	201	200	270
L1MEi	329	313	395	496
L1MEj	279	216	272	302
L1P1	380	357	440	387
L1P2	436	419	460	475
L1P3	422	418	416	427
L1P3b	1	2	3	3
L1P4	239	223	208	293
L1P4a	24	24	45	40
L1P4b	6	11	4	6
L1P4d	11	12	11	9
L1P4e	3	3	11	9
L1P5	19	34	29	22
L1P	0	0	1	2
L1PA10	942	961	1068	1153
L1PA11	694	714	808	822
L1PA12	243	178	213	216
L1PA13	887	939	1207	1089
L1PA14	312	283	436	427
L1PA15-16	157	168	170	169
L1PA15	716	713	926	907
L1PA16	1040	1012	1234	1370
L1PA17	394	357	434	440
L1PA2	1791	1731	1540	1410
L1PA3	3336	3373	3934	3847
L1PA4	2475	2379	2849	2888
L1PA5	2567	2561	3166	3347
L1PA6	2039	1942	2193	2323
L1PA7	2705	2619	2951	3007
L1PA8	721	692	880	901
L1PA8A	336	305	394	423
L1PB1	2092	2036	2417	2621
L1PB2	296	281	320	309
L1PB3	377	334	384	384
L1PB4	569	496	585	696
L1PB	124	124	152	140
L1PBa1	63	79	79	86
L1PBa	238	232	273	266
L1PBb	42	47	59	37
L1PREC2	873	844	1469	1445
L2-1_AMi	113	97	106	115
L2-1_Crp	0	2	6	1
L2-3_Crp	196	174	206	219
L2	7079	6788	8164	8706
L2a	20463	19534	23313	25030
L2b	10424	9969	11950	12162
L2c	14948	14403	16973	18046
L3	4715	4463	4996	5457
L3b	960	920	1022	1040
L4_A_Mam	648	646	663	723
L4_B_Mam	363	333	395	413
L4_C_Mam	403	339	403	446
L5	47	43	54	64
LOR1-int	117	117	121	126
LOR1a	56	49	73	87
LOR1b	78	68	71	50
LTR06	2	2	3	10
LTR101_Mam	47	67	70	81
LTR102_Mam	22	33	19	23
LTR103_Mam	30	25	28	38
LTR103b_Mam	35	26	40	31
LTR104_Mam	60	77	76	68
LTR105_Mam	79	62	74	66
LTR106_Mam	34	27	36	55
LTR107_Mam	16	14	20	12
LTR108a_Mam	2	2	5	7
LTR108d_Mam	1	2	0	1
LTR108e_Mam	4	1	6	4
LTR109A2	2	1	0	0
LTR10A	58	43	139	131
LTR10B1	58	52	57	55
LTR10B2	7	7	6	13
LTR10B	5	0	5	5
LTR10C	150	137	111	142
LTR10D	22	22	34	39
LTR10E	41	42	50	56
LTR10F	41	29	67	83
LTR10G	30	27	23	17
LTR12	96	90	111	122
LTR12B	10	17	14	19
LTR12C	727	721	1182	1090
LTR12D	39	58	126	98
LTR12E	17	17	30	40
LTR12F	40	27	43	38
LTR12_	60	32	58	52
LTR13	336	364	420	429
LTR13A	115	111	107	133
LTR13_	44	26	10	13
LTR14	33	21	35	28
LTR14A	16	18	13	19
LTR14B	67	53	71	51
LTR14C	5	4	5	3
LTR15	45	46	45	37
LTR16	121	132	136	166
LTR16A1	120	111	142	178
LTR16A2	92	99	81	83
LTR16A	196	197	207	185
LTR16B1	56	62	118	102
LTR16B2	68	62	76	75
LTR16B	49	52	37	52
LTR16C	345	330	389	408
LTR16D1	12	11	16	17
LTR16D2	15	15	23	11
LTR16D	37	41	52	38
LTR16E1	89	110	89	118
LTR16E2	99	104	116	114
LTR17	93	135	237	206
LTR18A	10	13	7	8
LTR18B	21	37	26	38
LTR18C	6	4	6	3
LTR19-int	91	105	167	179
LTR19A	80	80	79	94
LTR19B	26	30	38	39
LTR19C	7	3	11	12
LTR1	5	5	15	5
LTR1A1	27	17	34	47
LTR1A2	203	183	232	239
LTR1B0	1	4	4	0
LTR1B1	6	5	5	10
LTR1B	5	11	16	6
LTR1C1	3	3	3	3
LTR1C3	0	0	0	6
LTR1C	12	7	8	7
LTR1D1	27	24	31	24
LTR1D	13	20	29	17
LTR1E	22	19	33	34
LTR1F1	14	11	15	8
LTR1F2	6	5	4	3
LTR1F	8	1	11	13
LTR21A	6	7	7	5
LTR21B	6	15	19	8
LTR21C	0	1	2	2
LTR22	10	8	5	4
LTR22A	11	15	20	8
LTR22B1	9	12	14	11
LTR22B2	0	3	4	4
LTR22B	25	21	39	33
LTR22C0	17	16	13	18
LTR22C2	0	2	3	3
LTR22C	7	9	9	7
LTR22E	19	12	14	8
LTR23-int	7	6	8	12
LTR23	47	68	56	83
LTR24	42	61	29	36
LTR24B	48	49	53	60
LTR24C	34	35	48	51
LTR25-int	30	51	55	64
LTR25	19	22	15	23
LTR26	16	25	30	29
LTR26B	3	6	5	14
LTR26C	35	32	35	32
LTR26D	27	25	22	17
LTR26E	4	4	9	9
LTR2752	17	18	23	19
LTR27	5	12	10	3
LTR27B	18	13	16	11
LTR27C	18	14	19	17
LTR27D	4	7	2	7
LTR27E	5	9	16	12
LTR28	10	12	24	19
LTR28B	15	20	36	31
LTR28C	35	36	58	58
LTR29	53	75	56	58
LTR2	134	125	140	152
LTR2B	28	27	32	25
LTR2C	61	51	70	75
LTR30	4	5	5	2
LTR31	13	18	18	21
LTR32	74	72	102	104
LTR33	544	503	584	584
LTR33A	101	84	132	85
LTR33A_	142	152	127	129
LTR33B	73	68	83	73
LTR33C	66	56	41	50
LTR34	33	20	21	30
LTR35	21	22	29	38
LTR35A	5	7	6	7
LTR35B	21	16	10	26
LTR36	41	21	41	39
LTR37-int	80	81	94	100
LTR37A	108	108	108	130
LTR37B	93	86	94	104
LTR38-int	1	7	9	14
LTR38	10	5	15	15
LTR38A1	7	3	6	8
LTR38B	17	18	23	15
LTR38C	6	12	13	16
LTR39-int	7	3	4	6
LTR39	114	126	145	135
LTR3	10	4	6	2
LTR3A	50	48	52	65
LTR3B	9	5	3	6
LTR3B_	13	19	21	23
LTR40A1	62	39	55	69
LTR40a	95	77	102	121
LTR40b	72	84	94	103
LTR40c	72	45	89	91
LTR41	138	148	183	191
LTR41B	97	98	119	116
LTR41C	47	54	57	62
LTR42	96	98	93	110
LTR43-int	5	8	8	7
LTR43	42	38	48	40
LTR43B	8	14	16	15
LTR44	14	25	18	21
LTR45	2	2	7	8
LTR45B	10	20	22	28
LTR45C	56	34	55	54
LTR46-int	29	36	22	21
LTR46	38	22	35	26
LTR47A2	15	25	28	17
LTR47A	58	58	86	90
LTR47B2	13	23	22	16
LTR47B3	8	6	25	31
LTR47B4	17	29	32	29
LTR47B	11	4	6	7
LTR48	66	79	71	87
LTR48B	150	160	114	128
LTR49-int	111	136	137	115
LTR49	116	91	145	140
LTR4	22	28	14	13
LTR50	165	160	237	206
LTR51	40	41	34	40
LTR52-int	54	56	37	39
LTR52	77	84	85	81
LTR53-int	102	92	73	56
LTR53	67	53	70	57
LTR53B	6	6	7	6
LTR54	67	77	98	106
LTR54B	66	60	79	72
LTR55	24	15	41	29
LTR56	115	100	125	103
LTR57-int	155	160	93	134
LTR57	41	26	33	30
LTR58	2	0	0	2
LTR59	8	10	11	12
LTR5A	238	242	182	218
LTR5B	150	125	172	147
LTR5_Hs	326	346	351	341
LTR60	7	5	7	10
LTR60B	8	11	11	12
LTR61	46	48	58	71
LTR62	32	42	32	38
LTR64	43	49	43	62
LTR65	58	54	65	62
LTR66	23	25	25	23
LTR67B	214	218	276	280
LTR68	8	15	4	16
LTR69	5	9	12	14
LTR6A	69	83	75	77
LTR6B	23	27	29	38
LTR70	29	13	19	16
LTR71A	19	11	23	20
LTR71B	15	27	38	27
LTR72	9	11	19	24
LTR72B	10	5	10	6
LTR73	26	16	24	31
LTR75	66	66	65	74
LTR75B	5	9	7	7
LTR75_1	16	8	12	14
LTR76	171	186	175	220
LTR77	9	3	6	8
LTR78	244	243	305	294
LTR78B	138	152	181	193
LTR79	185	213	265	320
LTR7	226	233	987	1187
LTR7A	0	0	0	2
LTR7B	110	117	147	115
LTR7C	41	35	43	66
LTR7Y	776	852	3922	4327
LTR80A	16	14	19	26
LTR80B	24	12	13	13
LTR81	12	7	13	10
LTR81A	33	27	27	40
LTR81AB	5	9	7	9
LTR81B	35	41	47	56
LTR81C	21	13	24	22
LTR82A	45	54	83	85
LTR82B	279	309	308	324
LTR83	42	39	45	48
LTR84a	58	55	56	47
LTR84b	71	68	68	87
LTR85a	94	58	76	73
LTR85b	43	51	52	67
LTR85c	49	46	47	70
LTR86A1	74	68	97	82
LTR86A2	11	11	30	33
LTR86B1	13	16	25	14
LTR86B2	8	6	12	13
LTR86C	9	11	14	16
LTR87	131	127	163	153
LTR88a	34	55	29	39
LTR88b	64	49	68	70
LTR88c	28	23	41	28
LTR89	80	77	85	72
LTR8	426	402	493	504
LTR8A	172	182	205	198
LTR8B	149	142	173	161
LTR90A	20	21	30	34
LTR90B	20	20	27	27
LTR91	10	16	4	5
LTR9	43	38	49	51
LTR9A1	29	36	43	54
LTR9B	65	59	97	104
LTR9C	4	6	10	14
LTR9D	66	69	76	68
Looper	111	101	99	142
MADE1	218	222	223	254
MADE2	132	104	137	156
MARNA	318	351	309	421
MER101-int	259	225	234	280
MER101	29	35	19	30
MER101B	9	8	10	16
MER102a	300	281	338	334
MER102b	419	409	464	507
MER102c	292	320	323	396
MER103C	641	630	731	798
MER104	225	182	193	275
MER105	118	95	168	160
