TNF_24_1_S58.k100.bam.T	TNF_24_2_S59.k100.bam.T	UT_24_1_S52.k100.bam.C	UT_24_2_S53.k100.bam.C
Ricksha_b	17	19	21	17
Ricksha_c	80	40	80	63
SVA_A	228	252	306	379
SVA_B	454	447	491	515
SVA_C	200	207	267	241
SVA_D	950	922	1155	1117
SVA_E	124	122	142	156
SVA_F	332	301	421	424
THE1-int	4	5	19	11
THE1A-int	357	297	450	445
THE1A	227	195	262	284
THE1B-int	647	595	958	883
THE1B	1390	1223	1835	1672
THE1C-int	179	164	255	246
THE1C	458	387	609	612
THE1D-int	272	269	355	357
THE1D	755	607	892	932
Tigger10	123	110	169	179
Tigger11a	39	34	44	72
Tigger12	105	80	119	128
Tigger12A	87	65	71	110
Tigger12c	96	81	129	156
Tigger13a	305	262	347	365
Tigger14a	103	76	107	121
Tigger15a	596	581	592	746
Tigger16a	162	144	169	217
Tigger16b	102	122	143	162
Tigger17	11	4	19	13
Tigger17a	397	365	436	490
Tigger17b	12	8	12	17
Tigger17c	65	53	69	98
Tigger18a	179	156	165	222
Tigger19a	419	364	504	507
Tigger19b	329	285	373	428
Tigger1	2890	2675	3496	3725
Tigger1a_Art	23	19	21	25
Tigger1a_Mars	8	6	10	11
Tigger20a	149	129	131	153
Tigger2	749	624	813	795
Tigger2a	354	284	395	481
Tigger2b_Pri	193	161	207	246
Tigger3	176	148	165	181
Tigger3a	574	513	695	777
Tigger3b	848	677	991	1099
Tigger3c	250	222	279	314
Tigger3d	41	28	29	40
Tigger4	177	171	192	203
Tigger4a	478	436	530	618
Tigger4b	389	346	436	516
Tigger5	44	52	60	67
Tigger5b	176	163	207	221
Tigger6a	153	127	156	190
Tigger6b	17	15	14	21
Tigger7	351	317	410	442
Tigger8	112	83	106	117
Tigger9a	81	61	86	90
Tigger9b	71	91	109	125
UCON107	12	12	7	17
UCON11	3	1	1	0
UCON132b	45	30	42	71
UCON29	8	12	11	17
UCON33	12	9	20	9
UCON39	5	2	3	6
UCON49	4	4	4	7
UCON55	46	33	48	59
UCON69	0	0	2	1
UCON78	22	23	27	16
UCON80	2	0	1	3
UCON81	1	0	0	2
UCON86	4	4	6	0
UCON89	4	1	4	0
UCON8	6	5	10	11
X2_LINE	8	14	8	13
X5B_LINE	1	0	0	3
X6A_LINE	68	49	67	76
X6B_LINE	54	47	57	60
X7A_LINE	93	93	128	112
X7B_LINE	113	110	165	167
X7C_LINE	86	67	104	104
X7D_LINE	2	0	0	0
X8_LINE	11	15	18	25
X9_LINE	46	31	36	60
Zaphod2	22	23	43	46
Zaphod3	45	36	55	83
Zaphod	97	93	110	112
hAT-16_Crp	3	1	1	4
hAT-N1_Mam	19	19	38	45
