TNF_24_1_S58.k100.bam.T	TNF_24_2_S59.k100.bam.T	UT_24_1_S52.k100.bam.C	UT_24_2_S53.k100.bam.C
L1M3d	35	26	47	44
L1M3de	18	6	15	29
L1M3e	56	36	78	63
L1M3f	105	101	117	180
L1M4	2625	2289	2477	3222
L1M4a1	217	207	232	280
L1M4a2	195	169	201	203
L1M4b	534	509	663	681
L1M4c	330	327	411	463
L1M5	4968	4251	5005	6254
L1M6	279	248	296	327
L1M6B	40	35	41	51
L1M7	217	177	288	309
L1M8	191	157	196	223
L1M	31	31	39	57
L1MA10	260	228	241	317
L1MA1	545	466	674	716
L1MA2	726	578	869	964
L1MA3	1236	1060	1394	1597
L1MA4	1050	928	1034	1276
L1MA4A	915	784	956	1100
L1MA5	536	440	529	636
L1MA5A	335	269	377	412
L1MA6	660	546	578	767
L1MA7	630	529	633	740
L1MA8	945	843	898	1168
L1MA9	1215	1046	1373	1499
L1MB1	439	359	445	596
L1MB2	1329	1087	1390	1674
L1MB3	2591	2331	2783	3183
L1MB4	1427	1215	1424	1778
L1MB5	1398	1203	1517	1739
L1MB7	4345	3730	4565	5400
L1MB8	2550	2197	2604	3214
L1MC1	1646	1478	1885	2071
L1MC2	799	712	817	981
L1MC3	1219	1054	1365	1602
L1MC4	4324	3979	4604	5664
L1MC4a	1383	1230	1485	1766
L1MC5	2694	2277	2774	3201
L1MC5a	2485	2162	2708	3249
L1MC	544	491	548	670
L1MCa	463	391	521	613
L1MCb	78	60	116	105
L1MCc	209	166	238	260
L1MD1	877	757	921	1143
L1MD2	1320	1232	1553	1674
L1MD3	620	561	648	748
L1MD	920	818	914	1091
L1MDa	924	738	966	1079
L1MDb	57	40	65	61
L1ME1	3727	3295	3866	4655
L1ME2	1720	1584	1712	2076
L1ME2z	867	713	913	1088
L1ME3	1139	967	1188	1408
L1ME3A	1546	1368	1616	1967
L1ME3B	1032	789	1012	1262
L1ME3C	377	287	359	444
L1ME3Cz	1059	1016	1142	1390
L1ME3D	535	441	490	608
L1ME3E	424	362	474	566
L1ME3F	596	518	605	725
L1ME3G	1824	1622	1819	2219
L1ME4a	2941	2552	2835	3750
L1ME4b	2916	2590	2879	3531
L1ME4c	976	794	869	1183
L1ME5	247	213	264	270
L1MEa	23	11	26	22
L1MEb	196	142	250	271
L1MEc	2073	1809	2268	2641
L1MEd	2015	1783	2118	2460
L1MEf	1367	1118	1495	1735
L1MEg1	51	54	65	72
L1MEg2	65	46	77	89
L1MEg	1208	1020	1269	1507
L1MEh	177	152	200	270
L1MEi	403	365	395	496
L1MEj	211	201	272	302
L1P1	353	319	440	387
L1P2	339	320	460	475
L1P3	377	324	416	427
L1P3b	1	2	3	3
L1P4	207	189	208	293
L1P4a	26	21	45	40
L1P4b	6	6	4	6
L1P4c	2	0	0	0
L1P4d	12	6	11	9
L1P4e	7	3	11	9
L1P5	23	27	29	22
L1P	2	0	1	2
L1PA10	918	818	1068	1153
L1PA11	589	570	808	822
L1PA12	168	154	213	216
L1PA13	910	807	1207	1089
L1PA14	374	310	436	427
L1PA15-16	136	135	170	169
L1PA15	741	567	926	907
L1PA16	1120	882	1234	1370
L1PA17	375	310	434	440
L1PA2	1251	1038	1540	1410
L1PA3	3098	2700	3934	3847
L1PA4	2308	1936	2849	2888
L1PA5	2877	2487	3166	3347
L1PA6	1855	1591	2193	2323
L1PA7	2325	2077	2951	3007
L1PA8	703	604	880	901
L1PA8A	323	276	394	423
L1PB1	2015	1850	2417	2621
L1PB2	333	268	320	309
L1PB3	330	269	384	384
L1PB4	557	499	585	696
L1PB	118	112	152	140
L1PBa1	75	51	79	86
L1PBa	206	149	273	266
L1PBb	57	50	59	37
L1PREC2	1312	1047	1469	1445
L2-1_AMi	92	106	106	115
L2-1_Crp	3	1	6	1
L2-3_Crp	191	163	206	219
L2	6857	6066	8164	8706
L2a	20122	17809	23313	25030
L2b	9908	8874	11950	12162
L2c	14592	12898	16973	18046
L3	4374	3808	4996	5457
L3b	832	728	1022	1040
L4_A_Mam	596	585	663	723
L4_B_Mam	356	282	395	413
L4_C_Mam	406	314	403	446
L5	50	50	54	64
LOR1-int	93	103	121	126
LOR1a	69	65	73	87
LOR1b	51	53	71	50
LTR06	5	3	3	10
LTR101_Mam	47	53	70	81
LTR102_Mam	21	23	19	23
LTR103_Mam	27	26	28	38
LTR103b_Mam	28	27	40	31
LTR104_Mam	83	64	76	68
LTR105_Mam	39	53	74	66
LTR106_Mam	40	40	36	55
LTR107_Mam	11	7	20	12
LTR108a_Mam	3	1	5	7
LTR108e_Mam	1	2	6	4
LTR10A	96	128	139	131
LTR10B1	61	69	57	55
LTR10B2	9	7	6	13
LTR10B	2	1	5	5
LTR10C	85	80	111	142
LTR10D	29	20	34	39
LTR10E	57	50	50	56
LTR10F	76	63	67	83
LTR10G	16	26	23	17
LTR12	76	75	111	122
LTR12B	10	13	14	19
LTR12C	811	799	1182	1090
LTR12D	71	49	126	98
LTR12E	19	14	30	40
LTR12F	30	34	43	38
LTR12_	44	42	58	52
LTR13	388	346	420	429
LTR13A	99	88	107	133
LTR13_	11	12	10	13
LTR14	30	20	35	28
LTR14A	16	13	13	19
LTR14B	44	49	71	51
LTR14C	3	7	5	3
LTR15	35	22	45	37
LTR16	136	116	136	166
LTR16A1	126	97	142	178
LTR16A2	62	44	81	83
LTR16A	150	138	207	185
LTR16B1	78	78	118	102
LTR16B2	57	50	76	75
LTR16B	37	29	37	52
LTR16C	374	313	389	408
LTR16D1	10	12	16	17
LTR16D2	15	12	23	11
LTR16D	19	30	52	38
LTR16E1	117	75	89	118
LTR16E2	68	78	116	114
LTR17	202	212	237	206
LTR18A	11	9	7	8
LTR18B	27	21	26	38
LTR18C	2	2	6	3
LTR19-int	155	139	167	179
LTR19A	74	64	79	94
LTR19B	35	35	38	39
LTR19C	5	5	11	12
LTR1	7	6	15	5
LTR1A1	25	24	34	47
LTR1A2	161	174	232	239
LTR1B0	3	3	4	0
LTR1B1	10	5	5	10
LTR1B	6	8	16	6
LTR1C1	2	0	3	3
LTR1C3	1	2	0	6
LTR1C	5	2	8	7
LTR1D1	18	24	31	24
LTR1D	13	21	29	17
LTR1E	30	34	33	34
LTR1F1	12	11	15	8
LTR1F2	5	3	4	3
LTR1F	10	1	11	13
LTR21A	6	3	7	5
LTR21B	9	5	19	8
LTR21C	0	2	2	2
LTR22	6	9	5	4
LTR22A	11	19	20	8
LTR22B1	9	11	14	11
LTR22B2	2	1	4	4
LTR22B	28	16	39	33
LTR22C0	21	17	13	18
LTR22C2	2	1	3	3
LTR22C	7	10	9	7
LTR22E	15	16	14	8
LTR23-int	9	4	8	12
LTR23	59	62	56	83
LTR24	38	30	29	36
LTR24B	53	37	53	60
LTR24C	34	35	48	51
LTR25-int	50	37	55	64
LTR25	18	23	15	23
LTR26	27	25	30	29
LTR26B	10	2	5	14
LTR26C	14	22	35	32
LTR26D	14	16	22	17
LTR26E	15	7	9	9
LTR2752	12	14	23	19
LTR27	15	5	10	3
LTR27B	3	11	16	11
LTR27C	11	12	19	17
LTR27D	3	5	2	7
LTR27E	14	7	16	12
LTR28	16	16	24	19
LTR28B	23	13	36	31
LTR28C	43	36	58	58
LTR29	50	42	56	58
LTR2	110	115	140	152
LTR2B	23	18	32	25
LTR2C	45	51	70	75
LTR30	4	3	5	2
LTR31	10	15	18	21
LTR32	65	54	102	104
LTR33	411	389	584	584
LTR33A	86	80	132	85
LTR33A_	106	90	127	129
LTR33B	39	48	83	73
LTR33C	50	42	41	50
LTR34	12	21	21	30
LTR35	19	21	29	38
LTR35A	12	3	6	7
LTR35B	13	8	10	26
LTR36	47	45	41	39
LTR37-int	88	74	94	100
LTR37A	104	100	108	130
LTR37B	67	80	94	104
LTR38-int	10	14	9	14
LTR38	7	5	15	15
LTR38A1	2	7	6	8
LTR38B	6	7	23	15
LTR38C	5	15	13	16
LTR39-int	9	4	4	6
LTR39	108	93	145	135
LTR3	6	0	6	2
LTR3A	58	39	52	65
LTR3B	8	5	3	6
LTR3B_	13	16	21	23
LTR40A1	32	36	55	69
LTR40a	80	65	102	121
LTR40b	68	68	94	103
LTR40c	62	63	89	91
LTR41	142	120	183	191
LTR41B	107	105	119	116
LTR41C	52	36	57	62
LTR42	54	69	93	110
LTR43-int	5	7	8	7
LTR43	38	35	48	40
LTR43B	7	9	16	15
LTR44	14	11	18	21
LTR45	2	4	7	8
LTR45B	17	10	22	28
LTR45C	57	52	55	54
