baseMean	log2FoldChange	lfcSE	pvalue	padj
AluSg7	813.467539359151	0.0221481919382019	0.0559807759178021	0.381842781695944	0.999642617610237
AluSg	4217.61847597469	0.0310013107366915	0.0562707640515708	0.287117869505468	0.999642617610237
AluSp	5474.6388527643	0.0257118518320864	0.0488534685525979	0.408901087312843	0.999642617610237
AluSq10	127.807887824639	-0.0044783666248821	0.0567975302851273	0.738767702998658	0.999642617610237
AluSq2	6162.08150257774	-0.0180705678070336	0.0470995248286667	0.417326229736231	0.999642617610237
AluSq4	149.422208687033	0.00164855955307325	0.0566167634108075	0.902762667593158	0.999642617610237
AluSq	1588.7771652751	0.0229966612941922	0.0528719200422791	0.412319187559127	0.999642617610237
AluSx1	10927.873990438	-0.0157272503018984	0.0478568964054522	0.599561481051585	0.999642617610237
AluSx3	3192.97816260769	0.0280858250242697	0.0659773431950298	0.0852206444299582	0.999642617610237
AluSx4	876.615030970916	0.00151568140499114	0.0513971367123237	0.941970566297567	0.999642617610237
AluSx	10342.4157345739	0.000134422287089231	0.0442531653678114	0.859401347270522	0.999642617610237
AluSz6	4139.65283193741	0.0256555010696538	0.0498432508822506	0.389915503658852	0.999642617610237
AluSz	9272.0594112313	-0.00511712529927114	0.0449455242930807	0.915166258394303	0.999642617610237
AluY	9326.33281947324	0.040763957729921	0.0528620388872685	0.238391979000238	0.999642617610237
AluYa5	239.655999056877	0.0117922708853438	0.0572400061809926	0.482590415080609	0.999642617610237
AluYa8	11.0943247712732	-0.00214081761851905	0.0581276934291629	0.620189748050212	0.999642617610237
AluYb9	132.792992898691	-0.00240718218653102	0.058301172530185	0.0243453244397369	0.999642617610237
AluYc3	42.3164770315589	0.00392956703781607	0.0578687489737345	0.623510497241197	0.999642617610237
AluYc	302.690505211248	0.0194657435534251	0.0593182954431782	0.296888423350029	0.999642617610237
AluYd8	10.8265513803809	0.00068745516825128	0.0580788258794152	0.874822876731908	0.999642617610237
AluYe5	95.6741228671794	-0.00112842377365828	0.0569673324806801	0.921641097799562	0.999642617610237
AluYe6	18.6386240499223	0.00494132771946677	0.0582770649014078	0.37602331881798	0.999642617610237
AluYf1	150.890475131375	-0.0166182894055655	0.0597223276422218	0.250405167796665	0.999642617610237
AluYg6	40.5486280157332	0.00733379859553334	0.0583590374691176	0.358331720989202	0.999642617610237
AluYh3	143.759277958664	-0.00901803992289962	0.0574925760041357	0.524593520676859	0.999642617610237
AluYh3a3	55.6074805470848	0.0115342828323646	0.0591462832474373	0.219961302789551	0.999642617610237
AluYh7	5.46447440196264	-0.000332916152913552	0.0581546489925214	0.909663941637238	0.999642617610237
AluYh9	1.13749920079032	-0.000860912028041719	0.0582262005599281	0.525338292960064	0.999642617610237
AluYi6	66.4075842779317	-0.00454701713878336	0.0575624591127465	0.648693919861998	0.999642617610237
AluYi6_4d	14.6793595225445	-0.00144770598211946	0.0580474331436057	0.766748170723519	0.999642617610237
AluYj4	544.102205692854	0.000252421266527818	0.0581679970212471	0.921494500855632	0.999642617610237
AluYk11	53.6273196783459	0.00717694763472008	0.0581255755548299	0.444111400088672	0.999642617610237
AluYk12	9.9201994129264	-0.000169344457412688	0.0580887955416861	0.963612072320192	0.999642617610237
AluYk2	42.7946308727944	0.00336307673228767	0.0577696982767246	0.689614112985129	0.999642617610237
AluYk3	85.1537762237933	-0.00620665999733028	0.0575543532436876	0.583345465089049	0.999642617610237
AluYk4	80.9340413429805	0.00878085591191615	0.0581640303980268	0.415590929752468	0.999642617610237
AluYm1	350.363731318025	0.0475424375722246	0.0809737673761933	0.0526346594325551	0.999642617610237
AmnSINE1	96.1263265801719	-0.00250030458298895	0.057028580382152	0.833572341598688	0.999642617610237
Arthur1	45.2860749704458	-0.00622142854712314	0.0580996501407732	0.458916564957605	0.999642617610237
Arthur1A	28.1661580613425	-0.00179005003797397	0.0578749109674103	0.791227101611451	0.999642617610237
Arthur1B	75.5470096368505	-0.00308053014356276	0.0573275055398517	0.771437366364453	0.999642617610237
Arthur1C	23.1001975692211	0.00435122277015484	0.0582132172605522	0.428765379122126	0.999642617610237
BLACKJACK	59.4692860100839	0.0039725745362266	0.0576161970456772	0.67945041037659	0.999642617610237
CR1-12_AMi	3.07019544589185	-0.00123112877621624	0.0582068243013755	0.589655905325936	0.999642617610237
CR1-13_AMi	3.5024731146434	0.00250245625399549	0.0582676420245323	0.27935495553071	0.999642617610237
CR1-16_AMi	12.1924281761667	0.00137690110163594	0.0580881371431243	0.756703764416686	0.999642617610237
CR1-3_Croc	36.2247319505995	-0.00115096089032825	0.057742745162909	0.88055533748338	0.999642617610237
CR1-L3A_Croc	12.6411145384169	-0.00446608745537561	0.0583227110825539	0.30649270411901	0.999642617610237
CR1_Mam	118.696398031114	-0.00518476372593668	0.0570538072977399	0.684853830446702	0.999642617610237
Chap1_Mam	71.3978941238668	0.00305665909105393	0.057369003860995	0.771472719331365	0.999642617610237
Charlie10	86.5991742458931	0.0116707523652367	0.058733595402821	0.314423702636101	0.999642617610237
Charlie10a	13.9888704785077	0.000206728736891879	0.0580270175772258	0.968294563154549	0.999642617610237
Charlie10b	14.7785850497444	8.67391904894713e-05	0.058014719434242	0.988362251097619	0.999642617610237
Charlie11	2.71372299320107	0.00017559697441205	0.0581902357532963	0.938557761679829	0.999642617610237
Charlie12	47.2891326842584	0.00907585687845608	0.0586056802002976	0.299774372286172	0.999642617610237
Charlie13a	27.7448453387399	-0.00407657717081168	0.0580566330333789	0.538643642237876	0.999642617610237
Charlie13b	31.1072014394388	-0.00300178912289211	0.0579065780977997	0.670197442985679	0.999642617610237
Charlie14a	8.8584126678911	0.000282084437348731	0.0581024818906581	0.951072056486578	0.999642617610237
Charlie15a	214.393216580875	-0.0130210322641936	0.0575921204719031	0.435004100270276	0.999642617610237
Charlie15b	100.063550377064	0.0124457391916806	0.0589241786868019	0.291234895324768	0.999642617610237
Charlie16a	112.852814800467	0.00695455620872765	0.057373074041013	0.580456311985308	0.999642617610237
Charlie17	74.1933923155692	-0.0178020562640661	0.0612041209760728	0.106205480758261	0.999642617610237
Charlie17a	43.3687714374489	0.00357566838065879	0.0577790429272957	0.670073951168744	0.999642617610237
Charlie17b	9.07380365684301	1.43915697690574e-05	0.0580967949092727	0.998463586953867	0.999642617610237
Charlie18a	179.888234452167	0.0142190178986625	0.0584508530743229	0.357319899385022	0.999642617610237
Charlie19a	74.8442147917357	0.00118648972028886	0.0572334345488219	0.912630896958605	0.999642617610237
Charlie1	168.947552341847	-0.0190947712398876	0.060526879770622	0.215363659509133	0.999642617610237
Charlie1a	562.200701816879	0.0282866828516927	0.0614490537388646	0.230329300872996	0.999642617610237
Charlie1b	171.632029599418	-0.0134150976087697	0.0582466717114615	0.378740610740513	0.999642617610237
Charlie20a	36.1717280502813	0.000378241218799899	0.0577233461266285	0.960880543197186	0.999642617610237
Charlie21a	22.4124550796807	0.000555881276576742	0.0579483119562225	0.92519730608765	0.999642617610237
Charlie22a	58.7768293407336	-0.000913826404874248	0.0574786939196679	0.919746582784047	0.999642617610237
Charlie23a	50.4617590074128	0.00751543222439722	0.0582918377828943	0.38503930739282	0.999642617610237
Charlie24	86.2336322929238	0.00559871101620474	0.0574286180605321	0.622025287057399	0.999642617610237
Charlie25	43.9628715000626	0.000417752826677211	0.0576201637614311	0.96130309550869	0.999642617610237
Charlie26a	11.3370919028541	3.17109217031148e-05	0.0580642289291643	0.993608246173467	0.999642617610237
Charlie29a	61.7937709612405	-0.00349442172212223	0.0575640777938317	0.714090304299908	0.999642617610237
Charlie2a	110.593477379983	-0.00772886940904472	0.0575276447139344	0.557034849843409	0.999642617610237
Charlie2b	141.415228059545	0.0166800218862956	0.0597920999591351	0.24487595294743	0.999642617610237
Charlie30a	21.5905033911184	-0.00118047516706973	0.0579589918356608	0.836253667741567	0.999642617610237
Charlie3	30.0822831761778	-4.38809018287476e-05	0.0578377269228701	0.991702929492732	0.999642617610237
Charlie4	7.98837736029475	0.00347056314686907	0.0582721165472765	0.343642443676161	0.999642617610237
Charlie4a	150.687379640608	0.0162263641590806	0.0594237054679571	0.276193883035631	0.999642617610237
Charlie4z	434.440036490722	5.09874759138248e-05	0.0539337116586303	0.998949428677137	0.999642617610237
Charlie5	114.315952267164	0.00271802924279029	0.0568044381764756	0.866902032313608	0.999642617610237
Charlie6	5.84212876850555	0.00462839567181771	0.0584372549174702	0.113164140682747	0.999642617610237
Charlie7	128.933552892773	0.0104258055557127	0.0578991097406658	0.440462751958292	0.999642617610237
Charlie7a	66.561652347714	-0.00393028695064287	0.057491936022043	0.698291856972736	0.999642617610237
Charlie8	196.26386437794	-0.00325663600402244	0.0559082783120482	0.844585626845716	0.999642617610237
Charlie9	67.6363947480559	0.00569776159335451	0.0578135414282817	0.555749816614348	0.999642617610237
Cheshire	79.2585738785077	-0.0115542863686556	0.0587962607558839	0.297820186105458	0.999642617610237
DNA1_Mam	9.73340171048986	0.00225432493318769	0.0581563554526127	0.578771662234737	0.999642617610237
ERV24B_Prim-int	18.0216605959532	-0.00125123846080563	0.0580026856199261	0.813220563692477	0.999642617610237
