TNF_24_1_S58.k100.bam.T	TNF_24_2_S59.k100.bam.T	UT_24_1_S52.k100.bam.C	UT_24_2_S53.k100.bam.C
ERVL47-int	4.29836133379423	3.62701690183426	6.28034546896066	2.52153307501451
Eulor11	0	0	0.897192209851523	2.52153307501451
Eulor8	3.22377100034567	0	4.48596104925761	5.04306615002903
Eulor9A	3.22377100034567	1.20900563394475	4.48596104925761	0.840511025004838
Eulor9B	0	1.20900563394475	1.79438441970305	2.52153307501451
FAM	370.733665039752	332.476549334807	351.699346261797	355.536163577046
FLAM_A	1155.1846084572	1123.16623393468	1119.6958778947	1075.85411200619
FLAM_C	2637.04467828276	3428.73997786732	2228.62544927118	2390.41335511376
FRAM	531.922215057036	565.814636686145	593.941242921708	563.142386753241
FordPrefect	426.612362379077	457.004129631117	407.325263272591	390.83762662725
FordPrefect_a	11.8204936679341	2.41801126788951	4.48596104925761	6.7240882000387
HAL1	1700.00190751562	1678.09981991532	1689.41293115042	1697.83227050977
HAL1M8	296.586932031802	263.563228199956	244.036281079614	207.606223176195
HAL1ME	550.190250725662	558.560602882476	527.549019392695	516.914280377975
HAL1b	184.829537353152	209.157974672442	181.232826390008	216.851844451248
HERV-Fc2-int	2.14918066689712	0	0	2.52153307501451
HERV15-int	1.07459033344856	2.41801126788951	9.86911430836675	6.7240882000387
HERV16-int	22.5663970024197	14.508067607337	25.1213818758426	26.8963528001548
HERV17-int	82.7434556755389	66.4953098669615	89.7192209851523	66.4003709753822
HERV1_I-int	0	3.62701690183426	0	3.36204410001935
HERV1_LTRa	2.14918066689712	1.20900563394475	0	0
HERV1_LTRc	1.07459033344856	4.83602253577901	0	0.840511025004838
HERV3-int	17.1934453351769	14.508067607337	32.2989195546548	21.0127756251209
HERV30-int	30.0885293365596	26.5981239467846	19.7382286167335	24.3748197251403
HERV35I-int	20.4172163355226	21.7621014110056	9.86911430836675	14.2886874250822
HERV4_I-int	180.531176019358	200.694935234829	230.578397931841	221.894910601277
HERV9-int	22.5663970024197	33.8521577504531	34.9904961842094	33.6204410001935
HERV9N-int	5.37295166724279	7.25403380366852	3.58876883940609	4.20255512502419
HERV9NC-int	105.309852677959	91.8844281798013	202.765439426444	160.537605775924
HERVE-int	124.652478680033	106.392495787138	102.279911923074	108.425922225624
HERVE_a-int	5.37295166724279	3.62701690183426	4.48596104925761	5.04306615002903
HERVFH19-int	13.9696743348313	8.46303943761328	11.6634987280698	9.24562127505321
HERVFH21-int	91.3401783431274	91.8844281798013	98.6911430836675	99.1803009505708
HERVH-int	47057.3852920458	53592.801741503	32540.2642591049	33804.5129146696
HERVH48-int	4.29836133379423	4.83602253577901	8.97192209851523	7.56459922504354
HERVI-int	13.9696743348313	8.46303943761328	17.9438441970305	15.9697094750919
HERVIP10B3-int	41.9090230044937	35.0611633843979	47.5511871221307	35.3014630502032
HERVIP10F-int	1113.27558545271	1354.08631001812	851.435407149095	781.675253254499
HERVIP10FH-int	595.323044730501	693.969233884289	379.512304767194	380.751494327191
HERVK-int	181.605766352806	175.305816921989	157.905828933868	154.65402860089
HERVK11-int	45.1327940048394	55.6142591614587	43.9624182827246	51.2711725252951
HERVK11D-int	2.14918066689712	3.62701690183426	3.58876883940609	6.7240882000387
HERVK13-int	20.4172163355226	16.9260788752266	26.0185740856942	21.8532866501258
HERVK14-int	17.1934453351769	19.3440901431161	18.841036406882	15.1291984500871
HERVK14C-int	8.59672266758846	4.83602253577901	9.86911430836675	10.0861323000581
HERVK22-int	58.0278780062221	64.077298599072	97.793950873816	80.6890584004644
HERVK3-int	136.472972347967	103.974484519249	105.86868076248	114.309499400658
HERVK9-int	342.79431637009	288.952346512796	352.596538471648	334.523387951925
HERVKC4-int	0	2.41801126788951	2.69157662955457	0
HERVL-int	382.554158707687	385.672797228376	377.717920347491	332.842365901916
HERVL18-int	23.6409873358683	16.9260788752266	13.4578831477728	19.3317535751113
HERVL32-int	1.07459033344856	7.25403380366852	1.79438441970305	1.68102205000968
HERVL40-int	126.80165934693	146.289681707315	161.494597773274	174.826293201006
HERVL66-int	6.44754200069135	8.46303943761328	6.28034546896066	5.88357717503386
HERVL74-int	71.9975523410534	77.3763605724642	66.3922235290127	54.6332166253144
HERVP71A-int	13.9696743348313	20.5530957770608	29.6073429251002	20.1722646001161
HERVS71-int	65.550010340362	72.5403380366852	66.3922235290127	56.3142386753241
HSMAR1	51.5803360055308	62.8682929651272	71.7753767881218	80.6890584004644
HSMAR2	162.263140350732	178.932833823824	152.522675674759	152.132495525876
HUERS-P1-int	26.8647583362139	31.4341464825636	28.7101507152487	42.0255512502419
HUERS-P2-int	8.59672266758846	7.25403380366852	11.6634987280698	10.0861323000581
HUERS-P3-int	77.3705040082962	67.7043155009062	78.952914466934	89.0941686505128
HUERS-P3b-int	55.878697339325	64.077298599072	61.9062624797551	68.9219040503967
Harlequin-int	122.503298013136	131.781614099978	128.298486008768	131.96023092576
Helitron1Na_Mam	8.59672266758846	4.83602253577901	1.79438441970305	5.04306615002903
Helitron1Nb_Mam	6.44754200069135	3.62701690183426	16.1494597773274	9.24562127505321
Helitron3Na_Mam	29.0139390031111	25.3891183128398	42.1680338630216	20.1722646001161
Kanga11a	4.29836133379423	14.508067607337	14.3550753576244	17.6507315251016
Kanga1	33.3123003369053	38.6881802862321	33.1961117645063	23.5343087001355
Kanga1a	30.0885293365596	26.5981239467846	32.2989195546548	25.2153307501451
Kanga1b	13.9696743348313	12.0900563394475	17.0466519871789	11.7671543500677
Kanga1c	62.3262393400164	53.1962478935692	65.4950313191612	61.3573048253531
Kanga1d	44.0582036713909	29.0161352146741	25.1213818758426	35.3014630502032
Kanga2_a	80.5942750086418	96.7204507155803	62.8034546896066	81.5295694254692
L1HS	318.078738700773	371.164729621039	395.661764544521	324.437255651867
L1M1	404.045965376658	424.360977514609	456.670834814425	419.415001477414
L1M2	517.952540722205	495.692309917349	507.810790775962	487.496394502806
L1M2a1	10.7459033344856	6.04502816972377	5.38315325910914	5.88357717503386
L1M2a	39.7598423375966	31.4341464825636	36.7848806039124	32.7799299751887
